correlation_id,src_user,dst_computer,event_type,start_time,end_time,group_count,underlying_event_count
1,C1001$@DOM1,C528,LogOn_Success,150913,150914,2,3
2,C1002$@DOM1,C467,LogOn_Success,150888,150889,2,2
3,C1002$@DOM1,C625,LogOn_Success,150916,150917,2,2
4,C101$@DOM1,C528,LogOff_Success,150925,150929,2,2
5,C10101$@DOM1,C612,LogOn_Success,150905,150908,2,2
6,C1026$@DOM1,C457,LogOn_Success,150913,150914,2,2
7,C1026$@DOM1,C467,LogOn_Success,150894,150897,3,3
8,C10309$@DOM1,C612,LogOn_Success,150909,150912,4,4
9,C10484$@DOM1,C612,LogOff_Success,150887,150888,2,2
10,C10484$@DOM1,C612,LogOn_Success,150887,150888,2,2
11,C10739$@DOM1,C1065,LogOn_Success,150891,150893,2,2
12,C10870$@DOM1,C10870,TGS_Success,150898,150903,2,2
13,C1093$@DOM1,C612,LogOn_Success,150904,150908,2,2
14,C1103$@DOM1,C1103,TGT_Success,150890,150891,2,2
15,C11086$@DOM1,C1065,LogOn_Success,150927,150929,3,3
16,C1114$@DOM1,C1114,TGS_Fail,150913,150916,2,2
17,C11266$@DOM1,C612,LogOff_Success,150899,150904,2,2
18,C11402$@DOM1,C612,LogOff_Success,150910,150912,2,2
19,C11402$@DOM1,C612,LogOn_Success,150906,150910,2,2
20,C1144$@DOM1,C529,LogOff_Success,150923,150924,2,2
21,C1144$@DOM1,C529,LogOn_Success,150909,150911,2,2
22,C11506$@DOM1,C625,LogOff_Success,150915,150917,2,2
23,C11506$@DOM1,C625,LogOn_Success,150915,150917,2,2
24,C11888$@DOM1,C612,LogOff_Success,150900,150904,2,2
25,C11902$@DOM1,C2106,LogOff_Success,150891,150894,2,2
26,C11902$@DOM1,C2106,LogOn_Success,150888,150893,2,2
27,C11934$@DOM1,C612,LogOff_Success,150909,150911,2,2
28,C11934$@DOM1,C612,LogOn_Success,150898,150903,2,2
29,C11983$@DOM1,C586,LogOn_Success,150893,150895,3,3
30,C12027$@DOM1,C528,LogOn_Success,150884,150888,5,5
31,C12168$@DOM1,C1065,LogOn_Success,150915,150916,2,2
32,C12168$@DOM1,C612,LogOff_Success,150915,150916,2,2
33,C12168$@DOM1,C612,LogOn_Success,150915,150916,2,3
34,C12208$@DOM1,C625,LogOn_Success,150925,150927,2,2
35,C123$@DOM1,C2106,LogOff_Success,150891,150894,3,3
36,C123$@DOM1,C2106,LogOn_Success,150890,150892,3,3
37,C1248$@DOM1,C586,LogOff_Success,150885,150890,2,2
38,C12695$@DOM1,C612,LogOn_Success,150901,150905,2,2
39,C1271$@DOM1,C612,LogOn_Success,150901,150905,2,2
40,C12724$@DOM1,C625,TGS_Success,150902,150903,2,2
41,C12841$@DOM1,C612,LogOff_Success,150902,150906,2,2
42,C13166$@DOM1,C528,LogOn_Success,150890,150891,2,2
43,C1317$@DOM1,C586,LogOn_Success,150925,150927,2,2
44,C13294$@DOM1,C612,LogOff_Success,150899,150904,2,2
45,C1337$@DOM1,C1065,LogOn_Success,150915,150916,2,2
46,C13610$@DOM1,C528,LogOn_Success,150899,150903,4,4
47,C13619$@DOM1,C612,LogOn_Success,150919,150920,2,2
48,C13691$@DOM1,C586,LogOn_Success,150902,150905,2,2
49,C13715$@DOM1,C612,LogOff_Success,150905,150909,2,2
50,C14122$@DOM1,C612,LogOn_Success,150907,150910,2,2
51,C1450$@DOM1,C612,LogOn_Success,150902,150906,2,2
52,C14506$@DOM1,C586,LogOff_Success,150919,150920,2,2
53,C14506$@DOM1,C586,LogOn_Success,150919,150920,2,2
54,C14696$@DOM1,C467,LogOn_Success,150895,150896,2,2
55,C14856$@DOM1,C467,LogOn_Success,150925,150926,2,2
56,C1496$@DOM1,C529,LogOff_Success,150894,150895,2,2
57,C1496$@DOM1,C529,LogOn_Success,150894,150895,2,2
58,C1504$@DOM1,C1065,LogOn_Success,150905,150907,3,3
59,C15257$@DOM1,C1640,TGS_Success,150910,150912,2,2
60,C1545$@DOM1,C1065,LogOn_Success,150919,150920,2,2
61,C1545$@DOM1,C457,LogOn_Success,150919,150921,2,2
62,C15598$@DOM1,C467,LogOn_Success,150916,150917,2,2
63,C1570$@DOM1,C2106,LogOn_Success,150882,150883,2,2
64,C15729$@DOM1,C529,LogOn_Success,150913,150914,2,3
65,C16056$@DOM1,C1065,LogOn_Success,150886,150887,2,2
66,C16166$@DOM1,C467,LogOff_Success,150918,150919,2,2
67,C16166$@DOM1,C467,LogOn_Success,150918,150919,2,3
68,C16166$@DOM1,C528,LogOff_Success,150919,150920,2,2
69,C1617$@DOM1,C528,LogOff_Success,150926,150928,2,2
70,C1617$@DOM1,C528,LogOn_Success,150926,150928,2,2
71,C16249$@DOM1,C612,LogOn_Success,150901,150905,2,2
72,C16358$@DOM1,C457,LogOn_Success,150911,150913,2,2
73,C16387$@DOM1,C586,LogOff_Success,150907,150908,2,2
74,C16387$@DOM1,C586,LogOn_Success,150907,150908,2,2
75,C16426$@DOM1,C612,LogOff_Success,150924,150926,2,2
76,C16494$@DOM1,C16494,TGS_Success,150902,150905,2,2
77,C16494$@DOM1,C457,TGS_Success,150902,150906,2,2
78,C16494$@DOM1,C529,TGS_Success,150902,150905,2,2
79,C16494$@DOM1,C612,TGS_Success,150901,150906,4,4
80,C1655$@DOM1,C612,LogOn_Success,150887,150888,2,2
81,C16612$@DOM1,C612,LogOn_Success,150902,150906,2,2
82,C16827$@DOM1,C2106,LogOff_Success,150882,150887,2,2
83,C16869$@DOM1,C612,LogOff_Success,150897,150902,2,2
84,C1688$@DOM1,C1689,TGT_Success,150909,150911,2,2
85,C1688$@DOM1,C612,LogOff_Success,150909,150911,2,2
86,C1688$@DOM1,C612,LogOn_Success,150909,150911,2,2
87,C1688$@DOM1,C612,TGS_Success,150909,150911,2,2
88,C16888$@DOM1,C231,LogOff_Success,150901,150902,2,2
89,C16888$@DOM1,C231,LogOn_Success,150900,150901,2,2
90,C16909$@DOM1,C231,LogOff_Success,150914,150915,2,2
91,C16993$@DOM1,C467,LogOn_Success,150898,150900,3,3
92,C17066$@DOM1,C528,LogOn_Success,150882,150884,2,2
93,C17159$@DOM1,C586,LogOn_Success,150880,150881,2,2
94,C17228$@DOM1,C625,LogOff_Success,150921,150923,2,2
95,C1766$@DOM1,C612,LogOn_Success,150903,150907,2,2
96,C1766$@DOM1,C988,LogOn_Success,150883,150884,2,2
97,C17672$@DOM1,C1065,LogOff_Success,150918,150920,2,2
98,C17672$@DOM1,C1065,LogOn_Success,150918,150920,2,2
99,C17672$@DOM1,C529,LogOn_Success,150918,150919,2,2
100,C1929$@DOM1,C612,LogOff_Success,150900,150904,2,2
101,C1931$@DOM1,C586,LogOn_Success,150893,150896,2,2
102,C1959$@DOM1,C612,LogOff_Success,150900,150904,2,2
103,C1959$@DOM1,C612,LogOn_Success,150900,150904,2,2
104,C1964$@DOM1,C2106,LogOff_Success,150891,150895,4,4
105,C1964$@DOM1,C2106,LogOn_Success,150890,150894,4,4
106,C2057$@DOM1,C2106,LogOn_Success,150888,150892,2,2
107,C2092$@DOM1,C467,LogOff_Success,150899,150902,3,3
108,C2100$@DOM1,C2101,TGT_Success,150903,150907,2,2
109,C2100$@DOM1,C612,LogOff_Success,150903,150907,2,2
110,C2100$@DOM1,C612,LogOn_Success,150903,150907,2,2
111,C2100$@DOM1,C612,TGS_Success,150903,150907,2,2
112,C2111$@DOM1,C612,TGS_Success,150885,150886,2,2
113,C2266$@DOM1,C2106,LogOn_Success,150886,150887,2,2
114,C2461$@DOM1,C612,LogOff_Success,150909,150911,2,2
115,C2519$@DOM1,C625,LogOff_Success,150920,150921,2,2
116,C2519$@DOM1,C625,LogOn_Success,150920,150921,2,2
117,C2532$@DOM1,C612,LogOn_Success,150888,150889,2,2
118,C2572$@DOM1,C2573,TGT_Success,150909,150911,3,3
119,C2609$@DOM1,C612,LogOn_Success,150903,150908,3,3
120,C2683$@DOM1,C457,LogOn_Success,150914,150916,2,2
121,C2827$@DOM1,C612,LogOn_Success,150906,150909,2,2
122,C289$@DOM1,C2106,LogOff_Success,150891,150895,3,3
123,C289$@DOM1,C457,LogOn_Success,150917,150918,2,2
124,C2975$@DOM1,C612,LogOff_Success,150904,150908,2,2
125,C3035$@DOM1,C529,TGS_Success,150884,150885,2,2
126,C3070$@DOM1,C612,LogOff_Success,150911,150912,2,2
127,C3070$@DOM1,C612,LogOn_Success,150900,150904,2,2
128,C3256$@DOM1,C528,LogOn_Success,150883,150884,2,2
129,C331$@DOM1,C612,LogOn_Success,150904,150908,2,2
130,C3317$@DOM1,C528,LogOff_Success,150886,150888,2,2
131,C3317$@DOM1,C528,LogOn_Success,150886,150888,2,2
132,C3430$@DOM1,C1065,LogOn_Success,150887,150887,2,2
133,C3430$@DOM1,C467,LogOff_Success,150890,150893,2,2
134,C3430$@DOM1,C586,LogOff_Success,150903,150908,2,2
135,C3430$@DOM1,C586,LogOn_Success,150903,150905,2,2
136,C349$@DOM1,C612,LogOn_Success,150906,150910,2,2
137,C3554$@DOM1,C612,LogOff_Success,150905,150909,2,2
138,C3554$@DOM1,C612,LogOn_Success,150905,150909,2,2
139,C367$@DOM1,C612,LogOn_Success,150882,150883,2,2
140,C3677$@DOM1,C612,LogOff_Success,150906,150909,2,2
141,C368$@DOM1,C368,TGS_Success,150900,150904,2,2
142,C368$@DOM1,C467,LogOn_Success,150899,150900,2,2
143,C3697$@DOM1,C467,LogOn_Success,150880,150881,2,2
144,C3816$@DOM1,C10,LogOff_Success,150923,150927,2,2
145,C3816$@DOM1,C10,LogOn_Success,150911,150913,2,2
146,C3865$@DOM1,C529,LogOff_Success,150893,150898,2,2
147,C395$@DOM1,C528,LogOff_Success,150880,150881,2,2
148,C395$@DOM1,C528,LogOn_Success,150880,150881,2,2
149,C4031$@DOM1,C467,LogOn_Success,150910,150911,2,2
150,C4290$@DOM1,C586,LogOn_Success,150904,150906,2,2
151,C4310$@DOM1,C467,LogOn_Success,150885,150886,2,2
152,C4724$@DOM1,C467,LogOn_Success,150905,150906,2,2
153,C474$@DOM1,C612,LogOn_Success,150899,150904,2,2
154,C4881$@DOM1,C612,LogOff_Success,150899,150904,2,2
155,C4994$@DOM1,C612,LogOn_Success,150924,150926,2,2
156,C5000$@DOM1,C467,LogOff_Success,150901,150902,2,2
157,C5000$@DOM1,C467,LogOn_Success,150901,150902,2,2
158,C5016$@DOM1,C586,LogOn_Success,150908,150909,2,2
159,C5074$@DOM1,C612,LogOff_Success,150904,150908,2,2
160,C5074$@DOM1,C612,LogOn_Success,150900,150904,2,2
161,C517$@DOM1,C517,TGS_Success,150889,150891,2,2
162,C517$@DOM1,C625,LogOff_Success,150920,150922,2,2
163,C517$@DOM1,C625,LogOn_Success,150920,150922,2,2
164,C523$@DOM1,C1640,TGS_Success,150895,150896,2,2
165,C523$@DOM1,C528,LogOn_Success,150909,150910,2,2
166,C523$@DOM1,C612,LogOn_Success,150910,150912,2,2
167,C523$@DOM1,C625,LogOn_Success,150911,150915,2,2
168,C5303$@DOM1,C2106,LogOff_Success,150887,150890,2,2
169,C538$@DOM1,C2106,LogOff_Success,150886,150889,2,2
170,C538$@DOM1,C625,LogOff_Success,150915,150920,4,4
171,C538$@DOM1,C625,LogOn_Success,150915,150917,2,2
172,C553$@DOM1,C2106,LogOn_Success,150884,150887,2,2
173,C553$@DOM1,C457,LogOff_Success,150916,150918,2,2
174,C553$@DOM1,C457,LogOn_Success,150913,150918,3,3
175,C553$@DOM1,C467,LogOn_Success,150927,150929,2,2
176,C553$@DOM1,C553,TGS_Success,150907,150910,2,2
177,C553$@DOM1,C625,LogOff_Success,150913,150916,2,2
178,C567$@DOM1,C529,LogOn_Success,150899,150904,4,4
179,C599$@DOM1,C625,LogOn_Success,150919,150920,2,2
180,C619$@DOM1,C528,LogOn_Success,150920,150921,2,2
181,C62$@DOM1,C529,LogOn_Success,150909,150913,2,2
182,C6379$@DOM1,C1065,LogOn_Success,150916,150918,2,3
183,C6393$@DOM1,C612,LogOn_Success,150899,150904,3,3
184,C6572$@DOM1,C467,LogOff_Success,150885,150886,2,2
185,C6572$@DOM1,C467,LogOn_Success,150885,150886,2,2
186,C6707$@DOM1,C612,LogOn_Success,150908,150911,2,2
187,C6707$@DOM1,C625,TGS_Success,150906,150909,2,2
188,C678$@DOM1,C625,LogOn_Success,150915,150917,2,2
189,C678$@DOM1,C625,TGS_Success,150915,150917,2,2
190,C6793$@DOM1,C612,LogOn_Success,150886,150887,2,2
191,C6793$@DOM1,C612,TGS_Success,150886,150887,2,2
192,C6828$@DOM1,C612,LogOn_Success,150906,150910,2,2
193,C6969$@DOM1,C586,LogOn_Success,150901,150904,2,2
194,C6981$@DOM1,C529,LogOff_Success,150895,150896,2,2
195,C6981$@DOM1,C529,LogOn_Success,150895,150896,2,2
196,C700$@DOM1,C467,LogOn_Success,150916,150917,2,2
197,C722$@DOM1,C467,LogOn_Success,150887,150889,3,3
198,C7456$@DOM1,C625,LogOn_Success,150916,150917,2,2
199,C7668$@DOM1,C612,LogOff_Success,150900,150904,2,2
200,C7786$@DOM1,C529,LogOn_Success,150912,150914,3,3
201,C7858$@DOM1,C467,LogOff_Success,150912,150915,2,2
202,C787$@DOM1,C612,LogOff_Success,150903,150907,2,2
203,C8094$@DOM1,C586,LogOn_Success,150886,150889,3,3
204,C8219$@DOM1,C612,LogOff_Success,150912,150913,2,2
205,C8219$@DOM1,C612,LogOn_Success,150901,150905,2,2
206,C8260$@DOM1,C612,LogOff_Success,150899,150904,2,2
207,C830$@DOM1,C528,LogOff_Success,150921,150923,3,3
208,C8681$@DOM1,C467,LogOn_Success,150888,150889,2,2
209,C8681$@DOM1,C529,LogOn_Success,150905,150907,2,2
210,C8836$@DOM1,C467,LogOn_Success,150910,150911,2,2
211,C8836$@DOM1,C586,LogOn_Success,150880,150882,2,2
212,C8966$@DOM1,C528,LogOn_Success,150900,150904,2,2
213,C9028$@DOM1,C612,LogOn_Success,150884,150885,2,2
214,C9028$@DOM1,C625,LogOff_Success,150921,150922,2,2
215,C9216$@DOM1,C612,LogOff_Success,150887,150892,2,2
216,C9248$@DOM1,C612,LogOff_Success,150911,150912,2,2
217,C9248$@DOM1,C612,LogOn_Success,150901,150905,2,2
218,C9382$@DOM1,C528,LogOff_Success,150882,150884,2,2
219,C9382$@DOM1,C528,LogOn_Success,150882,150884,2,2
220,C9522$@DOM1,C612,LogOff_Success,150907,150910,2,2
221,C9544$@DOM1,C2106,LogOff_Success,150893,150894,2,2
222,C9544$@DOM1,C2106,LogOn_Success,150893,150894,2,2
223,C9544$@DOM1,C9544,LogOff_Success,150881,150884,2,2
224,C9544$@DOM1,C9544,LogOn_Success,150881,150884,2,2
225,C9544$@DOM1,C9544,TGS_Success,150880,150883,2,2
226,C9694$@DOM1,C1065,LogOn_Success,150881,150883,2,2
227,C9751$@DOM1,C1065,LogOn_Success,150900,150901,2,2
228,C983$@DOM1,C528,LogOn_Success,150902,150904,2,2
229,C983$@DOM1,C528,TGS_Success,150903,150908,2,2
230,C983$@DOM1,C612,LogOn_Success,150903,150908,2,2
231,C983$@DOM1,C983,TGS_Success,150903,150907,2,2
232,C988$@DOM1,C612,LogOn_Success,150905,150908,2,2
233,C988$@DOM1,C988,LogOn_Success,150918,150919,2,3
234,C9880$@DOM1,C612,LogOn_Success,150910,150912,2,2
235,SYSTEM@C16873,C16873,LogOn_Success,150918,150923,2,2
236,U1033@DOM1,C586,LogOff_Success,150917,150918,2,2
237,U117@DOM1,C1581,LogOff_Success,150922,150924,2,2
238,U1253@DOM1,C529,TGS_Success,150905,150909,2,2
239,U1253@DOM1,C586,LogOn_Success,150904,150906,2,2
240,U1253@DOM1,C586,TGS_Success,150904,150908,3,3
241,U1269@DOM1,C2106,LogOff_Success,150890,150894,2,2
242,U1367@DOM1,C612,LogOff_Success,150908,150910,2,2
243,U1367@DOM1,C612,LogOn_Success,150908,150910,2,2
244,U1377@DOM1,C467,LogOff_Success,150908,150913,2,2
245,U1390@DOM1,C2106,LogOff_Success,150885,150886,2,2
246,U1390@DOM1,C2106,LogOn_Success,150885,150886,2,2
247,U1395@DOM1,C528,LogOn_Success,150919,150920,2,2
248,U1411@DOM1,C612,LogOn_Success,150901,150905,2,2
249,U15@DOM1,C2010,TGS_Success,150918,150923,2,2
250,U15@DOM1,C2010,TGT_Success,150918,150923,2,2
251,U1869@DOM1,C457,LogOff_Success,150894,150896,2,2
252,U1869@DOM1,C457,LogOn_Success,150894,150896,2,2
253,U1900@DOM1,C1444,TGT_Success,150902,150906,2,2
254,U1900@DOM1,C2327,TGS_Success,150902,150906,2,2
255,U1945@DOM1,C2106,LogOff_Success,150881,150882,2,2
256,U200@DOM1,C1929,TGS_Success,150887,150892,2,2
257,U200@DOM1,C1929,TGT_Success,150887,150892,2,2
258,U2198@DOM1,C612,LogOff_Success,150898,150903,2,2
259,U2248@DOM1,C2162,LogOff_Success,150903,150905,2,2
260,U22@DOM1,C477,LogOn_Success,150894,150894,2,2
261,U22@DOM1,C965,LogOn_Success,150895,150895,2,2
262,U2387@DOM1,C612,LogOn_Success,150907,150911,4,4
263,U2424@DOM1,C457,TGS_Success,150892,150894,2,2
264,U2764@DOM1,C467,LogOn_Success,150892,150893,2,2
265,U292@DOM1,C101,TGS_Success,150903,150907,2,2
266,U292@DOM1,C101,TGT_Success,150903,150907,2,2
267,U292@DOM1,C1114,TGS_Success,150915,150919,2,2
268,U292@DOM1,C1115,TGT_Success,150915,150919,2,2
269,U292@DOM1,C553,TGT_Success,150907,150909,2,2
270,U292@DOM1,C988,LogOff_Success,150918,150919,2,2
271,U2937@DOM1,C529,LogOn_Success,150926,150927,2,2
272,U3003@DOM1,C2327,TGS_Success,150902,150906,2,2
273,U3003@DOM1,C8015,TGT_Success,150902,150906,2,2
274,U3154@DOM1,C528,LogOff_Success,150896,150897,2,2
275,U3154@DOM1,C528,LogOn_Success,150894,150896,3,3
276,U3433@DOM1,TGT,TGS_Success,150914,150915,2,2
277,U3450@DOM1,C1619,TGT_Success,150909,150911,2,2
278,U3450@DOM1,C599,TGS_Success,150909,150911,2,2
279,U3612@DOM1,C467,LogOff_Success,150918,150919,2,2
280,U3612@DOM1,C467,LogOn_Success,150917,150918,2,2
281,U3625@DOM1,C2106,LogOff_Success,150888,150892,2,2
282,U3625@DOM1,C2106,LogOn_Success,150888,150892,2,2
283,U367@DOM1,C1065,LogOn_Success,150881,150883,2,2
284,U3731@DOM1,C528,LogOn_Success,150928,150929,2,2
285,U3872@DOM1,C586,LogOn_Success,150904,150906,2,2
286,U3918@DOM1,C1065,LogOff_Success,150923,150925,2,2
287,U391@DOM1,C625,LogOff_Success,150919,150920,2,2
288,U391@DOM1,C625,LogOn_Success,150919,150920,2,2
289,U3958@DOM1,C801,LogOff_Success,150906,150910,2,2
290,U3974@DOM1,C528,LogOn_Success,150922,150923,2,2
291,U4033@DOM1,C2106,LogOn_Success,150896,150897,2,4
292,U4033@DOM1,C528,LogOn_Success,150892,150894,4,4
293,U4041@DOM1,C612,LogOff_Success,150904,150908,2,2
294,U43@DOM1,C625,TGS_Success,150883,150884,2,2
295,U4559@DOM1,C457,LogOff_Success,150896,150898,2,2
296,U4559@DOM1,C457,LogOn_Success,150896,150898,2,2
297,U4651@DOM1,C2162,LogOff_Success,150883,150885,2,2
298,U4688@DOM1,C528,LogOff_Success,150920,150921,2,2
299,U4688@DOM1,C528,LogOn_Success,150920,150921,2,2
300,U4727@DOM1,C612,LogOff_Success,150912,150913,2,2
301,U4727@DOM1,C612,LogOn_Success,150911,150913,3,3
302,U5210@DOM1,C1065,LogOn_Success,150918,150919,2,2
303,U5292@DOM1,C612,LogOff_Success,150907,150910,2,2
304,U5292@DOM1,C612,LogOn_Success,150906,150909,2,2
305,U5557@DOM1,C528,TGS_Success,150915,150916,2,2
306,U5600@DOM1,C612,LogOn_Success,150885,150886,2,2
307,U5652@DOM1,C586,LogOn_Success,150898,150899,2,2
308,U5704@DOM1,C801,LogOff_Success,150892,150894,2,2
309,U5813@DOM1,C1015,LogOn_Success,150889,150891,2,2
310,U5865@DOM1,C5618,LogOn_Success,150927,150928,2,3
311,U586@DOM1,C457,LogOn_Success,150911,150913,2,2
312,U586@DOM1,C467,LogOn_Success,150896,150897,2,2
313,U6078@DOM1,C1065,LogOn_Success,150904,150905,2,2
314,U6078@DOM1,C586,LogOff_Success,150904,150906,2,2
315,U6147@DOM1,C612,LogOff_Success,150899,150903,2,2
316,U6147@DOM1,C612,LogOn_Success,150899,150903,2,2
317,U6154@DOM1,C467,TGS_Success,150895,150896,2,2
318,U6215@DOM1,C801,LogOff_Success,150907,150908,2,2
319,U6297@DOM1,C2327,TGS_Success,150898,150902,2,2
320,U6316@DOM1,C612,LogOn_Success,150910,150912,2,2
321,U6364@DOM1,C528,LogOn_Success,150920,150921,2,2
322,U6509@DOM1,C5618,LogOff_Success,150903,150904,2,2
323,U6599@DOM1,C2162,LogOff_Success,150905,150907,2,2
324,U664@DOM1,C528,TGS_Success,150914,150915,2,2
325,U6666@DOM1,C1065,LogOn_Success,150920,150922,2,2
326,U66@DOM1,C1732,LogOff_Success,150921,150925,2,2
327,U66@DOM1,C2516,TGS_Success,150908,150912,2,2
328,U681@DOM1,C1065,LogOn_Success,150909,150910,2,2
329,U685@DOM1,C529,LogOff_Success,150900,150901,2,2
330,U685@DOM1,C529,LogOn_Success,150900,150901,2,2
331,U685@DOM1,C586,LogOn_Success,150892,150894,3,3
332,U6946@DOM1,C2327,TGS_Success,150900,150901,2,2
333,U6946@DOM1,C680,TGT_Success,150900,150901,2,2
334,U7452@DOM1,C1065,LogOn_Success,150925,150926,2,2
335,U825@DOM1,C2106,LogOff_Success,150889,150892,2,2
336,U825@DOM1,C586,LogOn_Success,150912,150913,2,2
337,U825@DOM1,C612,LogOff_Success,150881,150886,2,2
